,Accuracy,AUC_Score
Logistic Regression,0.956140350877193,0.9910714285714285
Random Forest,0.9473684210526315,0.9907407407407407
SVM,0.9736842105263158,0.9940476190476191
XGBoost,0.956140350877193,0.990079365079365
Neural Network,0.9736842105263158,0.996362433862434
Gradient Boosting,0.9385964912280702,0.9890873015873016
Ensemble Voting,0.9649122807017544,0.9940476190476191
